,title,price,rating,replyCount,category,item0,item1,item2,item3
27,[은성] 초특가/ 통딸랑이 4p/5p/8p 모음전/플렉시볼 /치발기,0.011313546870408463,0.9,0.009246199655226453,0.0,더마더 젤라또 트위스트 치아 발육기 윈켈 치발기,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,조이매스 3D미노스큐브,[바니랜드] 바니랜드 꼬마버스타요 삑삑이3종세트/타요삑삑이세트
28,아이존 오리오뚝이/오리 오뚜기,0.028357331766088748,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,아가프라/매직볼/치발기/오볼/딸랑이/아기장난감/공
29,[아벤트] tjbaby 아벤트 / 단계별치발기 / 치발기,0.013076697032030562,1.0,0.001097006738755681,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[더블하트] 유아용 입술치발기
30,베이비쥬 친환경딸랑이 나팔,0.004995592124595945,0.8,0.0001567152483936687,0.0,은성 항균 통 딸랑이 8종세트/신생아완구.나팔 치발기,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,더마더 젤라또 트위스트 치아 발육기 윈켈 치발기,[바니랜드] 바니랜드 꼬마버스타요 삑삑이3종세트/타요삑삑이세트
31,베이비쥬 친환경딸랑이 장구,0.005583308845136644,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,[홈타이푼] 슈퍼캐치볼 찍찍이캐치볼 캐치볼 catchball 공놀이 공,[더블하트] 유아용 입술치발기
32,[잼잼토이즈] 잼잼토이스 오뚝이 6종 병아리오뚜기/베이비오뚜기/베이비멜로디/둘리전자오뚜기/택1,0.012342051131354687,0.9,0.0001567152483936687,0.0,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,더마더 젤라또 트위스트 치아 발육기 윈켈 치발기,[바니랜드] 바니랜드 꼬마버스타요 삑삑이3종세트/타요삑삑이세트,[AKMALL2] 바니랜드-체스 아카데미
33,꿈나라 윙고 애벌레 헝겊인형/ 촉감 자극완구. 딸랑이,0.04687040846312078,0.8,0.0,0.0,더마더 젤라또 트위스트 치아 발육기 윈켈 치발기,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,[minijungoo] 메디토이 손목치발기 국민치발기,뽀로로 멜로디공 / 아기장난감 감각발달 깜짝볼
34,[피플] 피플 투모로우 아기띠 안아주기 전용 손가락 놀이 커버,0.017484572436085807,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기
35,[아이조아] 딸랑이5종8종세트 원색 파스텔 치발기 출산 유아 아기,0.017484572436085807,1.0,0.0003134304967873374,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[더블하트] 유아용 입술치발기,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기
36,베이비베어/통형 딸랑이 5P 세트/KC인증,0.00999118424919189,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,[홈타이푼] 슈퍼캐치볼 찍찍이캐치볼 캐치볼 catchball 공놀이 공,[더블하트] 유아용 입술치발기
